Country code, Latitude, Longitude, Total mentions, Country name, Region, Continent
CIV, Latitude: 8, Longitude: -5, UN general assembly mentions (1970 - 2008): 677, Côte dIvoire, Western Africa, Africa
TGO, Latitude: 8, Longitude: 1.1667, UN general assembly mentions (1970 - 2008): 1656, Togo, Western Africa, Africa
CYP, Latitude: 35, Longitude: 33, UN general assembly mentions (1970 - 2008): 2097, Cyprus, Middle East, Asia
MUS, Latitude: -20.2833, Longitude: 57.55, UN general assembly mentions (1970 - 2008): 1540, Mauritius, Eastern Africa, Africa
MMR, Latitude: 22, Longitude: 98, UN general assembly mentions (1970 - 2008): 1086, Myanmar, Southeast Asia, Asia
ARE, Latitude: 24, Longitude: 54, UN general assembly mentions (1970 - 2008): 1678, United Arab Emirates, Middle East, Asia
GTM, Latitude: 15.5, Longitude: -90.25, UN general assembly mentions (1970 - 2008): 1808, Guatemala, Central America, North America
GRD, Latitude: 12.1167, Longitude: -61.6667, UN general assembly mentions (1970 - 2008): 1597, Grenada, Caribbean, North America
LBY, Latitude: 25, Longitude: 17, UN general assembly mentions (1970 - 2008): 2076, Libyan Arab Jamahiriya, Northern Africa, Africa
LKA, Latitude: 7, Longitude: 81, UN general assembly mentions (1970 - 2008): 1639, Sri Lanka, Southern and Central Asia, Asia
TZA, Latitude: -6, Longitude: 35, UN general assembly mentions (1970 - 2008): 2305, Tanzania, Eastern Africa, Africa
SGP, Latitude: 1.3667, Longitude: 103.8, UN general assembly mentions (1970 - 2008): 838, Singapore, Southeast Asia, Asia
NOR, Latitude: 62, Longitude: 10, UN general assembly mentions (1970 - 2008): 913, Norway, Nordic Countries, Europe
LAO, Latitude: 18, Longitude: 105, UN general assembly mentions (1970 - 2008): 1198, Laos, Southeast Asia, Asia
ISL, Latitude: 65, Longitude: -18, UN general assembly mentions (1970 - 2008): 1040, Iceland, Nordic Countries, Europe
AFG, Latitude: 33, Longitude: 65, UN general assembly mentions (1970 - 2008): 2724, Afghanistan, Southern and Central Asia, Asia
CHL, Latitude: -30, Longitude: -71, UN general assembly mentions (1970 - 2008): 1619, Chile, South America, South America
DMA, Latitude: 15.4167, Longitude: -61.3333, UN general assembly mentions (1970 - 2008): 1015, Dominica, Caribbean, North America
UKR, Latitude: 49, Longitude: 32, UN general assembly mentions (1970 - 2008): 1785, Ukraine, Eastern Europe, Europe
KEN, Latitude: 1, Longitude: 38, UN general assembly mentions (1970 - 2008): 2329, Kenya, Eastern Africa, Africa
