Countrycode,Latitude,Longitude,Totalmentions,Countryname,Region,Continent
PNG, -6, 147, 2343, Papua New Guinea, Melanesia, Oceania
SLB, -8, 159, 1473, Solomon Islands, Melanesia, Oceania
DEU, 51, 9, 1545, Germany, Western Europe, Europe
ROU, 46, 25, 1648, Romania, Eastern Europe, Europe
KHM, 13, 105, 2061, Cambodia, Southeast Asia, Asia
TUN, 34, 9, 1792, Tunisia, Northern Africa, Africa
BRA, -10, -55, 1422, Brazil, South America, South America
IND, 20, 77, 1846, India, Southern and Central Asia, Asia
IDN, -5, 120, 1667, Indonesia, Southeast Asia, Asia
AUS, -27, 133, 2277, Australia, Australia and New Zealand, Oceania
COD, 0, 25, 1558, Congo The Democratic Republic of the, Central Africa, Africa
HND, 15, -86.5, 1375, Honduras, Central America, North America
GNQ, 2, 10, 1647, Equatorial Guinea, Central Africa, Africa
FJI, -18, 175, 886, Fiji Islands, Melanesia, Oceania
IRL, 53, -8, 2432, Ireland, British Islands, Europe
DZA, 28, 3, 1356, Algeria, Northern Africa, Africa
USA, 38, -97, 2095, United States, North America, North America
LSO, -29.5, 28.5, 1623, Lesotho, Southern Africa, Africa
GMB, 13.4667, -16.5667, 1565, Gambia, Western Africa, Africa
PER, -10, -76, 1312, Peru, South America, South America
DDR, East Germany, Western Europe
THA, 15, 100, 1635, Thailand, Southeast Asia, Asia
JOR, 31, 36, 2397, Jordan, Middle East, Asia
COG, -1, 15, 1610, Congo, Central Africa, Africa
NGA, 10, 8, 2262, Nigeria, Western Africa, Africa
ECU, -2, -77.5, 1627, Ecuador, South America, South America
SAU, 25, 45, 1676, Saudi Arabia, Middle East, Asia
QAT, 25.5, 51.25, 1265, Qatar, Middle East, Asia
SYC, -4.5833, 55.6667, 601, Seychelles, Eastern Africa, Africa
ETH, 8, 38, 2239, Ethiopia, Eastern Africa, Africa
TTO, 11, -61, 1189, Trinidad and Tobago, Caribbean, North America
PRY, -23, -58, 1444, Paraguay, South America, South America
VNM, 16, 106, 1244, Vietnam, Southeast Asia, Asia
NZL, -41, 174, 1736, New Zealand, Australia and New Zealand, Oceania
PAN, 9, -80, 2615, Panama, Central America, North America
MWI, -13.5, 34, 1432, Malawi, Eastern Africa, Africa
DJI, 11.5, 43, 1274, Djibouti, Eastern Africa, Africa
BEN, 9.5, 2.25, 1744, Benin, Western Africa, Africa
SOM, 10, 49, 1605, Somalia, Eastern Africa, Africa
ZMB, -15, 30, 2409, Zambia, Eastern Africa, Africa
CPV, 16, -24, 856, Cape Verde, Western Africa, Africa
BHS, 24.25, -76, 1612, Bahamas, Caribbean, North America
KWT, 29.3375, 47.6581, 2585, Kuwait, Middle East, Asia
UGA, 1, 32, 2241, Uganda, Eastern Africa, Africa
