Countrycode,Latitude,Longitude,Totalmentions,Countryname,Region,Continent
USA, 38, -97, 11714, United States, North America, North America
LSO, -29.5, 28.5, 525, Lesotho, Southern Africa, Africa
GMB, 13.4667, -16.5667, 454, Gambia, Western Africa, Africa
PER, -10, -76, 1138, Peru, South America, South America
DDR, East Germany, Western Europe
THA, 15, 100, 1065, Thailand, Southeast Asia, Asia
JOR, 31, 36, 1223, Jordan, Middle East, Asia
COG, -1, 15, 2142, Congo, Central Africa, Africa
NGA, 10, 8, 943, Nigeria, Western Africa, Africa
ECU, -2, -77.5, 1184, Ecuador, South America, South America
SAU, 25, 45, 613, Saudi Arabia, Middle East, Asia
QAT, 25.5, 51.25, 482, Qatar, Middle East, Asia
SYC, -4.5833, 55.6667, 433, Seychelles, Eastern Africa, Africa
ETH, 8, 38, 1572, Ethiopia, Eastern Africa, Africa
TTO, 11, -61, 669, Trinidad and Tobago, Caribbean, North America
PRY, -23, -58, 919, Paraguay, South America, South America
VNM, 16, 106, 1123, Vietnam, Southeast Asia, Asia
NZL, -41, 174, 1037, New Zealand, Australia and New Zealand, Oceania
PAN, 9, -80, 2225, Panama, Central America, North America
MWI, -13.5, 34, 761, Malawi, Eastern Africa, Africa
DJI, 11.5, 43, 540, Djibouti, Eastern Africa, Africa
BEN, 9.5, 2.25, 630, Benin, Western Africa, Africa
SOM, 10, 49, 2747, Somalia, Eastern Africa, Africa
ZMB, -15, 30, 981, Zambia, Eastern Africa, Africa
CPV, 16, -24, 514, Cape Verde, Western Africa, Africa
BHS, 24.25, -76, 1083, Bahamas, Caribbean, North America
KWT, 29.3375, 47.6581, 2143, Kuwait, Middle East, Asia
UGA, 1, 32, 1107, Uganda, Eastern Africa, Africa
COM, -12.1667, 44.25, 662, Comoros, Eastern Africa, Africa
ZAF, -29, 24, 12881, South Africa, Southern Africa, Africa
LBN, 33.8333, 35.8333, 5223, Lebanon, Middle East, Asia
SLE, 8.5, -11.5, 1031, Sierra Leone, Western Africa, Africa
KOR, 37, 127.5, 806, South Korea, Eastern Asia, Asia
BIH, 44, 18, 1122, Bosnia and Herzegovina, Southern Europe, Europe
TON, -20, -175, 404, Tonga, Polynesia, Oceania
EU, European Union, Western Europe
HRV, 45.1667, 15.5, 954, Croatia, Southern Europe, Europe
NRU, -0.5333, 166.9167, 408, Nauru, Micronesia, Oceania
TUV, -8, 178, 523, Tuvalu, Polynesia, Oceania
NAM, -22, 17, 8784, Namibia, Southern Africa, Africa
SMR, 43.7667, 12.4167, 322, San Marino, Southern Europe, Europe
LIE, 47.1667, 9.5333, 264, Liechtenstein, Western Europe, Europe
MKD, 41.8333, 22, 558, Macedonia, Southern Europe, Europe
TLS, -8.55, 125.5167, 1048, East Timor, Southeast Asia, Asia
FSM, 6.9167, 158.25, 0, Micronesia Federated States of, Micronesia, Oceania
KIR, 1.4167, 173, 260, Kiribati, Micronesia, Oceania
BTN, 27.5, 90.5, 389, Bhutan, Southern and Central Asia, Asia
SVK, 48.6667, 19.5, 356, Slovakia, Eastern Europe, Europe
WSM, -13.5833, -172.3333, 385, Samoa, Polynesia, Oceania
MNE, 42, 19, 368, Montenegro, Eastern Europe, Europe
GEO, 42, 43.5, 1024, Georgia, Middle East, Asia
LTU, 56, 24, 480, Lithuania, Baltic Countries, Europe
AND, 42.5, 1.6, 362, Andorra, Southern Europe, Europe
TJK, 39, 71, 687, Tajikistan, Southern and Central Asia, Asia
MHL, 9, 168, 465, Marshall Islands, Micronesia, Oceania
EST, 59, 26, 645, Estonia, Baltic Countries, Europe
LVA, 57, 25, 831, Latvia, Baltic Countries, Europe
CAF, 7, 21, 646, Central African Republic, Central Africa, Africa
TKM, 40, 60, 486, Turkmenistan, Southern and Central Asia, Asia
MDA, 47, 29, 582, Moldova, Eastern Europe, Europe
SSD, South Sudan, Northern Africa
KGZ, 41, 75, 363, Kyrgyzstan, Southern and Central Asia, Asia
AZE, 40.5, 47.5, 1094, Azerbaijan, Middle East, Asia
PSE, 32, 35.25, 5047, Palestine, Middle East, Asia
PRK, 40, 127, 341, North Korea, Eastern Asia, Asia
CZE, 49.75, 15.5, 295, Czech Republic, Eastern Europe, Europe
ERI, 15, 39, 836, Eritrea, Eastern Africa, Africa
ARM, 40, 45, 870, Armenia, Middle East, Asia
UZB, 41, 64, 323, Uzbekistan, Southern and Central Asia, Asia
PLW, 7.5, 134.5, 365, Palau, Micronesia, Oceania
VAT, 41.9, 12.45, 0, Holy See (Vatican City State), Southern Europe, Europe
MCO, 43.7333, 7.4, 307, Monaco, Western Europe, Europe
CHE, 47, 8, 346, Switzerland, Western Europe, Europe
KAZ, 48, 68, 44, Kazakstan, Southern and Central Asia, Asia
SVN, 46, 15, 258, Slovenia, Southern Europe, Europe
